,Totals,Periods,Label
0,71,2019-12-30,Total Number of Sequences
1,13,2020-01-06,Total Number of Sequences
2,45,2020-01-13,Total Number of Sequences
3,306,2020-01-20,Total Number of Sequences
4,378,2020-01-27,Total Number of Sequences
5,323,2020-02-03,Total Number of Sequences
6,249,2020-02-10,Total Number of Sequences
7,350,2020-02-17,Total Number of Sequences
8,991,2020-02-24,Total Number of Sequences
9,3162,2020-03-02,Total Number of Sequences
10,8801,2020-03-09,Total Number of Sequences
11,14972,2020-03-16,Total Number of Sequences
12,18575,2020-03-23,Total Number of Sequences
13,17166,2020-03-30,Total Number of Sequences
14,13823,2020-04-06,Total Number of Sequences
15,11627,2020-04-13,Total Number of Sequences
16,9782,2020-04-20,Total Number of Sequences
17,8829,2020-04-27,Total Number of Sequences
18,6787,2020-05-04,Total Number of Sequences
19,6669,2020-05-11,Total Number of Sequences
20,6060,2020-05-18,Total Number of Sequences
21,4488,2020-05-25,Total Number of Sequences
22,4859,2020-06-01,Total Number of Sequences
23,7011,2020-06-08,Total Number of Sequences
24,9170,2020-06-15,Total Number of Sequences
25,7307,2020-06-22,Total Number of Sequences
26,7821,2020-06-29,Total Number of Sequences
27,7071,2020-07-06,Total Number of Sequences
28,7090,2020-07-13,Total Number of Sequences
29,7564,2020-07-20,Total Number of Sequences
30,7761,2020-07-27,Total Number of Sequences
31,8427,2020-08-03,Total Number of Sequences
32,8473,2020-08-10,Total Number of Sequences
33,7964,2020-08-17,Total Number of Sequences
34,8235,2020-08-24,Total Number of Sequences
35,7811,2020-08-31,Total Number of Sequences
36,8300,2020-09-07,Total Number of Sequences
37,9404,2020-09-14,Total Number of Sequences
38,11997,2020-09-21,Total Number of Sequences
39,10547,2020-09-28,Total Number of Sequences
40,13558,2020-10-05,Total Number of Sequences
41,14769,2020-10-12,Total Number of Sequences
42,17053,2020-10-19,Total Number of Sequences
43,17080,2020-10-26,Total Number of Sequences
44,23568,2020-11-02,Total Number of Sequences
45,24436,2020-11-09,Total Number of Sequences
46,20117,2020-11-16,Total Number of Sequences
47,17118,2020-11-23,Total Number of Sequences
48,20431,2020-11-30,Total Number of Sequences
49,27329,2020-12-07,Total Number of Sequences
50,33309,2020-12-14,Total Number of Sequences
51,29947,2020-12-21,Total Number of Sequences
52,37351,2020-12-28,Total Number of Sequences
53,46764,2021-01-04,Total Number of Sequences
54,53254,2021-01-11,Total Number of Sequences
55,53630,2021-01-18,Total Number of Sequences
56,63209,2021-01-25,Total Number of Sequences
57,55706,2021-02-01,Total Number of Sequences
58,63439,2021-02-08,Total Number of Sequences
59,65066,2021-02-15,Total Number of Sequences
60,70206,2021-02-22,Total Number of Sequences
61,75472,2021-03-01,Total Number of Sequences
62,88852,2021-03-08,Total Number of Sequences
63,93112,2021-03-15,Total Number of Sequences
64,96903,2021-03-22,Total Number of Sequences
65,93192,2021-03-29,Total Number of Sequences
66,92145,2021-04-05,Total Number of Sequences
67,94961,2021-04-12,Total Number of Sequences
68,89955,2021-04-19,Total Number of Sequences
69,97966,2021-04-26,Total Number of Sequences
70,80386,2021-05-03,Total Number of Sequences
71,68562,2021-05-10,Total Number of Sequences
72,60127,2021-05-17,Total Number of Sequences
73,58150,2021-05-24,Total Number of Sequences
74,52909,2021-05-31,Total Number of Sequences
75,42745,2021-06-07,Total Number of Sequences
76,41222,2021-06-14,Total Number of Sequences
77,47834,2021-06-21,Total Number of Sequences
78,54887,2021-06-28,Total Number of Sequences
79,18260,2021-07-05,Total Number of Sequences
80,2319,2021-07-12,Total Number of Sequences
