,Totals,Periods,Label
0,18,2020-12-28,Total Number of Sequences
1,62,2021-01-04,Total Number of Sequences
2,67,2021-01-11,Total Number of Sequences
3,60,2021-01-18,Total Number of Sequences
4,120,2021-01-25,Total Number of Sequences
5,139,2021-02-01,Total Number of Sequences
6,163,2021-02-08,Total Number of Sequences
7,213,2021-02-15,Total Number of Sequences
8,285,2021-02-22,Total Number of Sequences
9,454,2021-03-01,Total Number of Sequences
10,469,2021-03-08,Total Number of Sequences
11,552,2021-03-15,Total Number of Sequences
12,693,2021-03-22,Total Number of Sequences
13,688,2021-03-29,Total Number of Sequences
14,564,2021-04-05,Total Number of Sequences
15,482,2021-04-12,Total Number of Sequences
16,380,2021-04-19,Total Number of Sequences
17,383,2021-04-26,Total Number of Sequences
18,262,2021-05-03,Total Number of Sequences
19,184,2021-05-10,Total Number of Sequences
20,112,2021-05-17,Total Number of Sequences
21,93,2021-05-24,Total Number of Sequences
22,47,2021-05-31,Total Number of Sequences
23,46,2021-06-07,Total Number of Sequences
