,Totals,Periods,Label
0,16,2021-01-11,Total Number of Sequences
1,16,2021-01-18,Total Number of Sequences
2,11,2021-01-25,Total Number of Sequences
3,23,2021-02-15,Total Number of Sequences
4,22,2021-02-22,Total Number of Sequences
5,25,2021-03-01,Total Number of Sequences
6,52,2021-03-08,Total Number of Sequences
7,52,2021-03-15,Total Number of Sequences
8,97,2021-03-22,Total Number of Sequences
9,158,2021-03-29,Total Number of Sequences
10,259,2021-04-05,Total Number of Sequences
11,244,2021-04-12,Total Number of Sequences
12,206,2021-04-19,Total Number of Sequences
13,226,2021-04-26,Total Number of Sequences
14,226,2021-05-03,Total Number of Sequences
15,166,2021-05-10,Total Number of Sequences
16,130,2021-05-17,Total Number of Sequences
17,124,2021-05-24,Total Number of Sequences
18,114,2021-05-31,Total Number of Sequences
19,87,2021-06-07,Total Number of Sequences
20,31,2021-06-14,Total Number of Sequences
21,22,2021-06-21,Total Number of Sequences
