,Totals,Periods,Label
0,26,2020-12-14,Total Number of Sequences
1,53,2020-12-21,Total Number of Sequences
2,40,2020-12-28,Total Number of Sequences
3,85,2021-01-04,Total Number of Sequences
4,48,2021-01-11,Total Number of Sequences
5,117,2021-01-18,Total Number of Sequences
6,116,2021-01-25,Total Number of Sequences
7,114,2021-02-01,Total Number of Sequences
8,176,2021-02-08,Total Number of Sequences
9,202,2021-02-15,Total Number of Sequences
10,325,2021-02-22,Total Number of Sequences
11,461,2021-03-01,Total Number of Sequences
12,579,2021-03-08,Total Number of Sequences
13,961,2021-03-15,Total Number of Sequences
14,1687,2021-03-22,Total Number of Sequences
15,1826,2021-03-29,Total Number of Sequences
16,3010,2021-04-05,Total Number of Sequences
17,3109,2021-04-12,Total Number of Sequences
18,3140,2021-04-19,Total Number of Sequences
19,3227,2021-04-26,Total Number of Sequences
20,2739,2021-05-03,Total Number of Sequences
21,2605,2021-05-10,Total Number of Sequences
22,1889,2021-05-17,Total Number of Sequences
23,1665,2021-05-24,Total Number of Sequences
24,171,2021-05-31,Total Number of Sequences
25,189,2021-06-07,Total Number of Sequences
